id v0 v1
777 192 217
778 217 180
779 182 217
780 180 218
781 218 213
782 218 206
783 217 218
784 217 208
785 208 218
786 218 219
787 219 206
788 208 219
789 206 220
790 220 215
791 220 207
792 219 220
793 219 209
794 209 220
795 220 221
796 221 207
797 209 221
798 221 222
799 222 207
800 221 210
801 210 222
802 198 223
803 223 182
804 10 223
805 109 223
806 93 223
807 182 224
808 224 217
809 224 208
810 223 224
811 93 224
812 224 225
813 225 208
814 93 225
815 112 225
816 94 225
817 208 226
818 226 219
819 226 209
820 225 226
821 94 226
822 226 227
823 227 209
824 94 227
825 115 227
826 95 227
827 209 228
828 228 221
829 228 210
830 227 228
831 95 228
832 228 229
833 229 210
834 95 229
835 118 229
836 13 229
837 229 230
838 230 210
839 13 230
840 146 205
841 148 231
842 231 146
843 205 231
844 231 207
845 151 232
846 232 148
847 231 232
848 232 233
849 233 231
850 207 233
851 233 210
852 123 151
853 232 123
854 124 232
855 233 124
856 125 233
857 210 125
858 156 234
859 234 8
860 146 234
861 234 212
862 234 205
863 159 235
864 235 146
865 148 235
866 146 236
867 236 234
868 236 205
869 235 236
870 235 231
871 231 236
872 236 237
873 237 205
874 231 237
875 237 216
876 237 207
877 164 238
878 238 148
879 151 238
880 148 239
881 239 235
882 239 231
883 238 239
884 238 232
885 232 239
886 239 240
887 240 231
888 232 240
889 231 241
890 241 237
891 241 207
892 240 241
893 240 233
894 233 241
895 241 242
896 242 207
897 233 242
898 242 222
899 242 210
900 171 243
901 243 151
902 11 243
903 136 243
904 123 243
905 151 244
906 244 238
907 244 232
908 243 244
909 123 244
910 244 245
911 245 232
912 123 245
913 139 245
914 124 245
915 232 246
916 246 240
917 246 233
918 245 246
919 124 246
920 246 247
921 247 233
922 124 247
923 142 247
924 125 247
925 233 248
926 248 242
927 248 210
928 247 248
929 125 248
930 248 249
931 249 210
932 125 249
933 145 249
934 13 249
935 249 230
936 724 725
937 725 726
938 726 727
939 727 729
940 729 728
941 728 724
942 720 721
943 721 724
944 725 723
945 723 722
946 722 720
947 716 717
948 717 718
949 718 719
950 719 723
951 722 716
952 712 713
953 713 716
954 717 715
955 715 714
956 714 712
957 708 709
958 709 710
959 710 711
960 711 715
961 714 708
962 704 705
963 705 708
964 709 707
965 707 706
966 706 704
967 700 701
968 701 702
969 702 703
970 703 707
971 706 700
972 696 697
973 697 720
974 721 699
975 699 698
976 698 696
977 695 697
978 713 695
979 692 693
980 693 696
