id x y z
422 0.886096 0.384169 0.259323
423 0.928132 0.352052 0.120956
424 0.969222 0.11258 0.218941
425 0.969222 0.218941 0.11258
426 0.981871 0.186621 0.0331946
427 0.996215 0.0803753 0.0330996
428 0.981871 0.0331946 0.186621
429 0.996215 0.0330996 0.0803753
430 0.0330996 -0.0803753 0.996215
431 0.0331946 -0.186621 0.981871
432 0.0803753 -0.0330996 0.996215
433 0.186621 -0.0331946 0.981871
434 0.0412999 -0.443926 0.895111
435 0.0414014 -0.576487 0.816057
436 0.11258 -0.218941 0.969222
437 0.218941 -0.11258 0.969222
438 0.120956 -0.352052 0.928132
439 0.259323 -0.384169 0.886096
440 0.352052 -0.120956 0.928132
441 0.384169 -0.259323 0.886096
442 0.443926 -0.0412999 0.895111
443 0.576487 -0.0414014 0.816057
444 0.0414014 -0.816057 0.576487
445 0.0412999 -0.895111 0.443926
446 0.133629 -0.635557 0.760402
447 0.272288 -0.535771 0.799255
448 0.133629 -0.760402 0.635557
449 0.272288 -0.799255 0.535771
450 0.427403 -0.56613 0.704857
451 0.427403 -0.704857 0.56613
452 0.535771 -0.272288 0.799255
453 0.635557 -0.133629 0.760402
454 0.56613 -0.427403 0.704857
455 0.704857 -0.427403 0.56613
456 0.760402 -0.133629 0.635557
457 0.799255 -0.272288 0.535771
458 0.816057 -0.0414014 0.576487
459 0.895111 -0.0412999 0.443926
460 0.0331946 -0.981871 0.186621
461 0.0330996 -0.996215 0.0803753
462 0.0803753 -0.996215 0.0330996
463 0.186621 -0.981871 0.0331946
464 0.120956 -0.928132 0.352052
465 0.259323 -0.886096 0.384169
466 0.11258 -0.969222 0.218941
467 0.218941 -0.969222 0.11258
468 0.384169 -0.886096 0.259323
469 0.352052 -0.928132 0.120956
470 0.443926 -0.895111 0.0412999
471 0.576487 -0.816057 0.0414014
472 0.56613 -0.704857 0.427403
473 0.704857 -0.56613 0.427403
474 0.535771 -0.799255 0.272288
475 0.635557 -0.760402 0.133629
476 0.799255 -0.535771 0.272288
477 0.760402 -0.635557 0.133629
478 0.816057 -0.576487 0.0414014
479 0.895111 -0.443926 0.0412999
480 0.886096 -0.259323 0.384169
481 0.928132 -0.120956 0.352052
482 0.886096 -0.384169 0.259323
483 0.928132 -0.352052 0.120956
484 0.969222 -0.11258 0.218941
485 0.969222 -0.218941 0.11258
486 0.981871 -0.186621 0.0331946
487 0.996215 -0.0803753 0.0330996
488 0.981871 -0.0331946 0.186621
489 0.996215 -0.0330996 0.0803753
490 -0.0330996 -0.0803753 -0.996215
491 -0.0331946 -0.186621 -0.981871
492 -0.0803753 -0.0330996 -0.996215
493 -0.186621 -0.0331946 -0.981871
494 -0.0412999 -0.443926 -0.895111
495 -0.0414014 -0.576487 -0.816057
496 -0.11258 -0.218941 -0.969222
497 -0.218941 -0.11258 -0.969222
498 -0.120956 -0.352052 -0.928132
499 -0.259323 -0.384169 -0.886096
500 -0.352052 -0.120956 -0.928132
501 -0.384169 -0.259323 -0.886096
